province_n,district_n,sector_nam,cell_name,mean,median,sum
Amajyaruguru,Gakenke,Karambo,Kirebe,0.08568905901025843,0.0,2.3136045932769775
Amajyaruguru,Gakenke,Kivuruga,Cyintare,0.20437452793121338,0.0,4.087490558624268
Amajyaruguru,Gakenke,Kivuruga,Gasiza,0.4422216796875,0.45389723777770996,11.0555419921875
Amajyaruguru,Gakenke,Kivuruga,Rugimbu,0.15402324994405112,0.0,4.620697498321533
Amajyaruguru,Gakenke,Kivuruga,Ruhinga,0.23093636091365372,0.0,9.93026351928711
Amajyaruguru,Gakenke,Kivuruga,Sereri,0.4497652053833008,0.5127887725830078,14.392486572265625
Amajyaruguru,Gakenke,Mataba,Buyange,0.0,0.0,0.0
Amajyaruguru,Gakenke,Mataba,Gikombe,0.0,0.0,0.0
Amajyaruguru,Gakenke,Mataba,Nyundo,0.0,0.0,0.0
Amajyaruguru,Gakenke,Minazi,Gasiho,0.0,0.0,0.0
Amajyaruguru,Gakenke,Minazi,Munyana,0.0,0.0,0.0
Amajyaruguru,Gakenke,Minazi,Murambi,0.0,0.0,0.0
Amajyaruguru,Gakenke,Minazi,Raba,0.0,0.0,0.0
Amajyaruguru,Gakenke,Mugunga,Gahinga,0.0,0.0,0.0
Amajyaruguru,Gakenke,Mugunga,Munyana,0.0,0.0,0.0
Amajyaruguru,Gakenke,Mugunga,Mutego,0.0,0.0,0.0
Amajyaruguru,Gakenke,Mugunga,Nkomane,0.0,0.0,0.0
Amajyaruguru,Gakenke,Mugunga,Rutabo,0.0,0.0,0.0
Amajyaruguru,Gakenke,Mugunga,Rutenderi,0.0,0.0,0.0
Amajyaruguru,Gakenke,Mugunga,Rwamambe,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muhondo,Busake,0.20083301407950266,0.0,5.623324394226074
Amajyaruguru,Gakenke,Muhondo,Bwenda,0.7237454194288987,0.6331148147583008,18.817380905151367
Amajyaruguru,Gakenke,Muhondo,Gasiza,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muhondo,Gihinga,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muhondo,Huro,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muhondo,Musagara,0.01877525719729337,0.0,0.6195834875106812
Amajyaruguru,Gakenke,Muhondo,Musenyi,0.0,0.0,0.0
Amajyaruguru,Gakenke,Muhondo,Ruganda,0.04122771157158746,0.0,1.4841976165771484
